stable_id	display_label
ENSDART00000089017	NM_001110472.1
ENSDART00000034865	NM_001002498.2
ENSDART00000060399	NM_205541.2
ENSDART00000092347	NM_001076658.1
ENSDART00000130801	NM_001003569.2
ENSDART00000135864	NM_001003425.2
ENSDART00000148582	NM_001326536.1
ENSDART00000099262	NM_131269.2
ENSDART00000113492	NM_001114907.1
ENSDART00000146605	NM_200736.1
ENSDART00000166562	NM_130931.2
ENSDART00000043004	NM_001002513.2
ENSDART00000001318	NM_001003414.1
ENSDART00000168778	NM_201458.2
ENSDART00000126566	NM_001113336.1
ENSDART00000168443	NM_001115142.1
ENSDART00000008698	NM_199672.1
ENSDART00000144076	NM_001312912.1
ENSDART00000002595	NM_001002155.1
ENSDART00000016464	NM_205588.2
ENSDART00000078916	NM_001198743.1
ENSDART00000090483	NM_001171583.1
ENSDART00000152224	NM_200448.2
ENSDART00000127667	NM_178437.2
ENSDART00000133834	NM_001013351.3
ENSDART00000000948	NM_001003823.1
ENSDART00000087842	NM_001045448.1
ENSDART00000167501	NM_001278817.1
ENSDART00000139855	NM_199956.1
ENSDART00000056376	NM_001037376.1
ENSDART00000087241	NM_001083567.1
ENSDART00000098590	NM_001105584.1
ENSDART00000173073	NM_001031840.1
ENSDART00000160644	NM_001001839.2
ENSDART00000062587	NM_131856.3
ENSDART00000056882	NM_199691.1
ENSDART00000137966	NM_001328596.1
ENSDART00000058796	NM_001031842.1
ENSDART00000146397	NM_001098188.1
ENSDART00000034606	NM_001030163.1
ENSDART00000054590	NM_131008.4
ENSDART00000017075	NM_194396.2
ENSDART00000076804	NM_001258231.1
ENSDART00000067380	NM_001025484.2
ENSDART00000005313	NM_214813.1
ENSDART00000032344	NM_200066.1
ENSDART00000080487	NM_152966.2
ENSDART00000136594	NM_001031840.1
ENSDART00000058789	NM_001110469.1
ENSDART00000163794	NM_001039634.2
ENSDART00000019323	NM_131863.2
ENSDART00000156928	NM_001080009.1
ENSDART00000017140	NM_001031840.1
ENSDART00000020703	NM_173267.1
ENSDART00000142167	NM_001159914.1
ENSDART00000058829	NM_001014347.2
ENSDART00000084914	NM_001077164.1
ENSDART00000032368	NM_001282373.1
ENSDART00000086661	NM_001089411.1
ENSDART00000076160	NM_001326444.1
ENSDART00000104835	NM_001089539.2
ENSDART00000045609	NM_001007413.1
ENSDART00000098076	NM_001077599.1
ENSDART00000065385	NM_001002406.1
ENSDART00000041319	NM_001037237.1
ENSDART00000004984	NM_001030136.2
ENSDART00000017968	NM_001005988.1
ENSDART00000130388	NM_001256636.1
ENSDART00000039482	NM_130998.1
ENSDART00000138021	NM_001328329.1
ENSDART00000051693	NM_205698.1
ENSDART00000141086	NM_131633.1
ENSDART00000157678	NM_001079946.1
ENSDART00000133576	NM_001328328.1
ENSDART00000158335	NM_001003449.1
ENSDART00000081495	NM_001166256.1
ENSDART00000081158	NM_201209.1
ENSDART00000017292	NM_001045137.1
ENSDART00000089651	NM_001077166.1
ENSDART00000098712	NM_207100.2
ENSDART00000028954	NM_001083850.1
ENSDART00000151205	NM_001198772.1
ENSDART00000082776	NM_001100001.2
ENSDART00000078300	NM_001017629.2
ENSDART00000147742	NM_152962.3
ENSDART00000147742	NM_001309399.1
ENSDART00000079011	NM_205601.1
ENSDART00000102368	NM_001076714.2
ENSDART00000135166	NM_001309400.1
ENSDART00000086686	NM_001077383.1
ENSDART00000151921	NM_001328167.1
ENSDART00000055866	NM_001123297.1
ENSDART00000127496	NM_001043325.1
ENSDART00000079035	NM_001123053.1
ENSDART00000126823	NM_001018140.1
ENSDART00000165670	NM_001278796.1
ENSDART00000146972	NM_178292.5
ENSDART00000001649	NM_205544.2
ENSDART00000052274	NM_001002121.1
ENSDART00000011931	NM_173835.4
ENSDART00000129485	NM_001164461.1
ENSDART00000076386	NM_001037422.2
ENSDART00000099891	NM_001098481.1
ENSDART00000114537	NM_001076612.1
ENSDART00000161484	NM_207094.1
ENSDART00000101174	NM_001128381.1
ENSDART00000100061	NM_001089425.1
ENSDART00000115383	NM_001045174.2
ENSDART00000163971	NM_001287204.1
ENSDART00000062150	NM_200888.1
ENSDART00000062150	NM_001328437.1
ENSDART00000161161	NM_001282173.1
ENSDART00000101265	NM_001328533.1
ENSDART00000101265	NM_001017550.2
ENSDART00000016014	NM_001006059.1
ENSDART00000062350	NM_001006019.2
ENSDART00000066177	NM_213030.1
ENSDART00000091898	NM_001082895.1
ENSDART00000063127	NM_001013276.1
ENSDART00000087151	NM_001006021.1
ENSDART00000073609	NM_200503.2
ENSDART00000162393	NM_001326441.1
ENSDART00000168287	NM_200608.1
ENSDART00000006867	NM_001126423.1
ENSDART00000142995	NM_001013469.1
ENSDART00000133742	NM_001199994.1
ENSDART00000041269	NM_001002049.1
ENSDART00000052349	NM_199689.3
ENSDART00000064080	NM_001002341.1
ENSDART00000170409	NM_001326384.1
ENSDART00000045299	NM_214700.2
ENSDART00000138952	NM_001201348.1
ENSDART00000165645	NM_001281986.1
ENSDART00000082332	NM_131169.3
ENSDART00000146889	NM_001039890.1
ENSDART00000153949	NM_001114466.1
ENSDART00000040786	NM_001327749.1
ENSDART00000150104	NM_201121.1
ENSDART00000077554	NM_001040637.1
ENSDART00000017977	NM_131345.1
ENSDART00000004514	NM_001002046.1
ENSDART00000029939	NM_001013278.1
ENSDART00000077899	NM_212794.1
ENSDART00000029084	NM_001002665.1
ENSDART00000143468	NM_001201350.1
ENSDART00000129643	NM_001030197.2
ENSDART00000047719	NM_001114548.1
ENSDART00000053380	NM_001002337.1
ENSDART00000137272	NM_001201351.1
ENSDART00000043522	NM_001033919.1
ENSDART00000027072	NM_001110109.1
ENSDART00000080347	NM_001105690.1
ENSDART00000132856	NM_001201349.1
ENSDART00000077694	NM_207067.1
ENSDART00000123392	NM_001002555.1
ENSDART00000008469	NM_131297.2
ENSDART00000058578	NM_001017358.1
ENSDART00000145554	NM_001002069.2
ENSDART00000101204	NM_212634.3
ENSDART00000081823	NM_001122628.1
ENSDART00000084938	NM_001076582.2
ENSDART00000142090	NM_001077312.2
ENSDART00000105562	NM_001002669.1
ENSDART00000115051	NM_001111212.1
ENSDART00000052240	NM_213032.1
ENSDART00000140816	NM_001098773.1
ENSDART00000113559	NM_001005604.1
ENSDART00000090221	NM_001045846.2
ENSDART00000090221	NM_001326377.1
ENSDART00000088605	NM_001346250.1
ENSDART00000044986	NM_212854.3
ENSDART00000009347	NM_212715.1
ENSDART00000155421	NM_001326437.1
ENSDART00000148478	NM_001013522.1
ENSDART00000059347	NM_001024419.1
ENSDART00000063523	NM_001256244.1
ENSDART00000134732	NM_001326438.1
ENSDART00000156458	NM_001081555.1
ENSDART00000054736	NM_001030133.1
ENSDART00000155632	NM_001256246.1
ENSDART00000102559	NM_001037574.2
ENSDART00000010580	NM_001077302.2
ENSDART00000067512	NM_214697.1
ENSDART00000075398	NM_001199362.1
ENSDART00000105925	NM_001089544.2
ENSDART00000156540	NM_001256243.1
ENSDART00000142979	NM_001123283.1
ENSDART00000090844	NM_001076639.1
ENSDART00000155990	NM_001256245.1
ENSDART00000019636	NM_200296.1
ENSDART00000104346	NM_001128336.1
ENSDART00000063028	NM_001015041.2
ENSDART00000143040	NM_001037385.1
ENSDART00000015780	NM_199785.1
ENSDART00000084355	NM_001098764.1
ENSDART00000039109	NM_001004591.1
ENSDART00000103833	NM_001114417.1
ENSDART00000162639	NM_001128407.1
ENSDART00000122371	NM_001327811.1
ENSDART00000013894	NM_001103112.1
ENSDART00000127053	NM_001123234.1
ENSDART00000127982	NM_001326430.1
ENSDART00000141286	NM_001045218.1
ENSDART00000077627	NM_181662.2
ENSDART00000029579	NM_001003589.2
ENSDART00000157510	NM_207073.1
ENSDART00000065555	NM_194395.2
ENSDART00000130950	NM_200685.2
ENSDART00000160074	NM_001008646.1
ENSDART00000086627	NM_001309829.1
ENSDART00000007783	NM_001037436.1
ENSDART00000066778	NM_200178.1
ENSDART00000064597	NM_214693.2
ENSDART00000170062	NM_001099416.1
ENSDART00000150830	NM_001327823.1
ENSDART00000098160	NM_001089443.1
ENSDART00000016597	NM_199629.1
ENSDART00000149025	NM_001039995.1
ENSDART00000098691	NM_001128408.1
ENSDART00000024320	NM_001126457.1
ENSDART00000024320	NM_131620.1
ENSDART00000144479	NM_001002689.1
ENSDART00000066625	NM_001002185.1
ENSDART00000092809	NM_001110454.1
ENSDART00000124574	NM_001082955.1
ENSDART00000076200	NM_199276.1
ENSDART00000079248	NM_199736.1
ENSDART00000082329	NM_131232.2
ENSDART00000036448	NM_001110401.1
ENSDART00000008638	NM_001045011.1
ENSDART00000138669	NM_200878.1
ENSDART00000013605	NM_001080604.1
ENSDART00000153868	NM_001326428.1
ENSDART00000076810	NM_001128569.1
ENSDART00000083346	NM_001127470.1
ENSDART00000122307	NM_001013457.1
ENSDART00000081419	NM_001114451.1
ENSDART00000102251	NM_001098488.1
ENSDART00000093185	NM_001002651.1
ENSDART00000132602	NM_131638.1
ENSDART00000047377	NM_001005587.1
ENSDART00000114102	NM_001200036.1
ENSDART00000040826	NM_183339.1
ENSDART00000028105	NM_201017.1
ENSDART00000067373	NM_001018126.1
ENSDART00000162523	NM_001082805.1
ENSDART00000105820	NM_001025461.1
ENSDART00000066949	NM_001099980.1
ENSDART00000079165	NM_001008400.1
ENSDART00000061366	NM_214770.1
ENSDART00000007053	NM_001002342.1
ENSDART00000053925	NM_001040316.1
ENSDART00000007392	NM_001002339.1
ENSDART00000080693	NM_131218.1
ENSDART00000021533	NM_001017551.2
ENSDART00000110673	NM_001020785.2
ENSDART00000019392	NM_212878.2
ENSDART00000060344	NM_001002423.1
ENSDART00000035944	NM_001007385.2
ENSDART00000086176	NM_001137665.1
ENSDART00000017605	NM_001002210.1
ENSDART00000021083	NM_199996.2
ENSDART00000023278	NM_131645.2
ENSDART00000046094	NM_001008733.1
ENSDART00000134475	NM_001020675.1
ENSDART00000062695	NM_001037413.1
ENSDART00000036273	NM_001003462.1
ENSDART00000036273	NM_001045009.2
ENSDART00000033630	NM_001122748.1
ENSDART00000007310	NM_001109712.1
ENSDART00000010777	NM_131247.1
ENSDART00000003494	NM_001009982.1
ENSDART00000064558	NM_201460.2
ENSDART00000104031	NM_213087.2
ENSDART00000066191	NM_001001834.2
ENSDART00000098269	NM_001243006.1
ENSDART00000040499	NM_001122698.1
ENSDART00000062518	NM_001045060.2
ENSDART00000055854	NM_001045368.1
ENSDART00000155949	NM_001287539.1
ENSDART00000135049	NM_001045129.1
ENSDART00000101262	NM_001045018.2
ENSDART00000056103	NM_212966.1
ENSDART00000112453	NM_001127305.1
ENSDART00000046783	NM_001013549.1
ENSDART00000125133	NM_001164029.1
ENSDART00000063621	NM_001005993.1
ENSDART00000060056	NM_153668.4
ENSDART00000170582	NM_199545.4
ENSDART00000074802	NM_001159836.1
ENSDART00000149620	NM_001083579.1
ENSDART00000057052	NM_200411.1
ENSDART00000087894	NM_001076590.1
ENSDART00000006482	NM_001310093.1
ENSDART00000006482	NM_131568.1
ENSDART00000101462	NM_001045190.2
ENSDART00000005985	NM_131027.1
ENSDART00000020256	NM_001031674.2
ENSDART00000077307	NM_001045033.1
ENSDART00000091272	NM_001242938.1
ENSDART00000025691	NM_001002201.1
ENSDART00000004181	NM_001017737.1
ENSDART00000078525	NM_173242.2
ENSDART00000088569	NM_001077617.1
ENSDART00000012104	NM_130954.1
ENSDART00000011645	NM_199643.2
ENSDART00000067866	NM_001013455.1
ENSDART00000110606	NM_001111178.1
ENSDART00000019233	NM_001082899.1
ENSDART00000088513	NM_001077253.1
ENSDART00000032481	NM_130932.1
ENSDART00000080916	NM_001243004.1
ENSDART00000080916	NM_178303.3
ENSDART00000104252	NM_001002115.1
ENSDART00000101104	NM_001034988.1
ENSDART00000078304	NM_001002598.1
ENSDART00000080914	NM_001243005.1
ENSDART00000006180	NM_130954.1
ENSDART00000105518	NM_001030125.1
ENSDART00000104812	NM_001003768.1
ENSDART00000114759	NM_001316738.1
ENSDART00000053126	NM_200704.1
ENSDART00000083558	NM_001077615.1
ENSDART00000134937	NM_001003613.2
ENSDART00000032982	NM_001034969.1
ENSDART00000109412	NM_001282423.1
ENSDART00000079174	NM_201203.1
ENSDART00000016995	NM_001003613.2
ENSDART00000137704	NM_001033920.1
ENSDART00000081447	NM_201151.1
ENSDART00000130472	NM_001318128.1
ENSDART00000003929	NM_207052.1
ENSDART00000154593	NM_001327922.1
ENSDART00000141704	NM_001044940.1
ENSDART00000052787	NM_001037708.2
ENSDART00000172053	NM_001001594.2
ENSDART00000140743	NM_001126399.1
ENSDART00000089834	NM_001111197.1
ENSDART00000111374	NM_001199912.1
ENSDART00000171966	NM_214731.2
ENSDART00000075600	NM_001082866.1
ENSDART00000093155	NM_001045005.1
ENSDART00000022499	NM_001129823.1
ENSDART00000043496	NM_001114914.1
ENSDART00000124705	NM_001017660.2
ENSDART00000143511	NM_001144812.1
ENSDART00000008590	NM_213017.1
ENSDART00000147907	NM_001007174.1
ENSDART00000162583	NM_001082801.1
ENSDART00000052387	NM_001159541.1
ENSDART00000112099	NM_001114888.1
ENSDART00000074777	NM_131018.1
ENSDART00000078755	NM_001113643.1
ENSDART00000056375	NM_001002309.1
ENSDART00000012335	NM_001089553.1
ENSDART00000050000	NM_181494.2
ENSDART00000102881	NM_001004547.1
ENSDART00000165000	NM_001040367.2
ENSDART00000099281	NM_001076777.1
ENSDART00000067822	NM_205608.1
ENSDART00000111430	NM_001114593.1
ENSDART00000011096	NM_001033720.1
ENSDART00000102583	NM_001128533.1
ENSDART00000137135	NM_001160013.1
ENSDART00000035101	NM_001033917.2
ENSDART00000080864	NM_199700.1
ENSDART00000025749	NM_200265.1
ENSDART00000012164	NM_001004608.1
ENSDART00000077053	NM_001014300.1
ENSDART00000083281	NM_001098760.1
ENSDART00000127517	NM_001080040.2
ENSDART00000011583	NM_200165.1
ENSDART00000140766	NM_001127514.1
ENSDART00000090316	NM_213477.1
ENSDART00000035560	NM_200900.1
ENSDART00000114911	NM_001346162.1
ENSDART00000078695	NM_001146272.1
ENSDART00000019845	NM_205537.1
ENSDART00000050603	NM_001003515.1
ENSDART00000004295	NM_001017723.1
ENSDART00000074963	NM_001020656.1
ENSDART00000003790	NM_200292.1
ENSDART00000063832	NM_001012500.1
ENSDART00000078630	NM_130929.1
ENSDART00000145379	NM_001077303.1
ENSDART00000007262	NM_131809.2
ENSDART00000019992	NM_200329.1
ENSDART00000147818	NM_001045053.2
ENSDART00000050865	NM_001002470.1
ENSDART00000014649	NM_001076643.2
ENSDART00000003221	NM_001077430.1
ENSDART00000077447	NM_001328372.1
ENSDART00000077447	NM_001020592.1
ENSDART00000015773	NM_131316.1
ENSDART00000145540	NM_001045187.1
ENSDART00000134044	NM_213246.1
ENSDART00000102555	NM_001017542.2
ENSDART00000103957	NM_001099422.1
ENSDART00000155592	NM_001160822.1
ENSDART00000170684	NM_001076558.1
ENSDART00000073648	NM_001003469.2
ENSDART00000007726	NM_001005986.1
ENSDART00000062156	NM_199958.1
ENSDART00000135153	NM_001127515.1
ENSDART00000121708	NM_001166129.1
ENSDART00000002545	NM_213273.1
ENSDART00000073663	NM_001144811.2
ENSDART00000016303	NM_201057.1
ENSDART00000013745	NM_212826.1
ENSDART00000046211	NM_001113225.2
ENSDART00000040209	NM_131097.1
ENSDART00000016793	NM_199794.1
ENSDART00000142013	NM_200083.1
ENSDART00000133882	NM_174863.2
ENSDART00000131558	NM_001006036.1
ENSDART00000128943	NM_001130617.2
ENSDART00000121504	NM_131811.2
ENSDART00000086863	NM_001122840.1
ENSDART00000162185	NM_001080988.1
ENSDART00000022179	NM_213161.1
ENSDART00000136049	NM_001082842.1
ENSDART00000148402	NM_001017693.1
ENSDART00000168728	NM_001160823.1
ENSDART00000168728	NM_001044764.2
ENSDART00000062094	NM_001033746.1
ENSDART00000154503	NM_199679.1
ENSDART00000101582	NM_001089369.1
ENSDART00000074068	NM_213222.2
ENSDART00000158576	NM_001030269.1
ENSDART00000127955	NM_001003507.1
ENSDART00000142738	NM_001024411.1
ENSDART00000137061	NM_200953.2
ENSDART00000027532	NM_201303.1
ENSDART00000081337	NM_001003418.1
ENSDART00000144013	NM_001080626.1
ENSDART00000101537	NM_001080993.1
ENSDART00000059344	NM_001015066.2
ENSDART00000140719	NM_001083047.1
ENSDART00000061829	NM_001127468.1
ENSDART00000060635	NM_001002220.1
ENSDART00000152216	NM_001309467.1
ENSDART00000132958	NM_205685.2
ENSDART00000021462	NM_212615.1
ENSDART00000073626	NM_001020519.1
ENSDART00000025535	NM_199988.1
ENSDART00000079019	NM_001025460.1
ENSDART00000169780	NM_001111207.1
ENSDART00000103887	NM_001017699.1
ENSDART00000078316	NM_213125.2
ENSDART00000078316	NM_001270536.1
ENSDART00000004392	NM_001003520.1
ENSDART00000162256	NM_001020519.1
ENSDART00000014047	NM_131377.1
ENSDART00000099102	NM_199988.1
ENSDART00000099139	NM_001083099.1
ENSDART00000162474	NM_207184.1
ENSDART00000062096	NM_001025552.2
ENSDART00000161774	NM_207185.1
ENSDART00000158960	NM_001122760.1
ENSDART00000064657	NM_212910.1
ENSDART00000154992	NM_001199870.1
ENSDART00000065380	NM_199966.1
ENSDART00000052097	NM_001012315.2
ENSDART00000140352	NM_001079949.2
ENSDART00000065036	NM_001003995.1
ENSDART00000048819	NM_001004676.2
ENSDART00000028623	NM_212777.1
ENSDART00000128246	NM_200566.1
ENSDART00000026194	NM_131782.2
ENSDART00000052096	NM_001002576.3
ENSDART00000054337	NM_001034174.1
ENSDART00000137029	NM_200504.1
ENSDART00000001830	NM_001004529.2
ENSDART00000152432	NM_001135971.1
ENSDART00000164638	NM_001045020.1
ENSDART00000027213	NM_001144784.1
ENSDART00000128855	NM_001293704.1
ENSDART00000150184	NM_001199720.1
ENSDART00000017299	NM_001020751.1
ENSDART00000051751	NM_001044779.1
ENSDART00000091472	NM_001128740.1
ENSDART00000052239	NM_212654.1
ENSDART00000018107	NM_001045234.2
ENSDART00000067633	NM_001243164.1
ENSDART00000020000	NM_001002163.1
ENSDART00000017179	NM_182868.1
ENSDART00000064197	NM_213274.1
ENSDART00000105687	NM_001100008.1
ENSDART00000056747	NM_131199.2
ENSDART00000061299	NM_001025452.1
ENSDART00000018972	NM_001002512.1
ENSDART00000029252	NM_214729.1
ENSDART00000080925	NM_001037568.1
ENSDART00000069132	NM_200414.1
ENSDART00000100287	NM_001031841.3
ENSDART00000105808	NM_001002383.1
ENSDART00000078610	NM_200755.1
ENSDART00000011987	NM_001002043.1
ENSDART00000172111	NM_001100403.1
ENSDART00000053880	NM_001160014.1
ENSDART00000168560	NM_001002169.1
ENSDART00000113146	NM_001020699.2
ENSDART00000081766	NM_130983.2
ENSDART00000040577	NM_001003867.2
ENSDART00000159061	NM_001258228.1
ENSDART00000038818	NM_001004000.2
ENSDART00000158267	NM_001025508.1
ENSDART00000143088	NM_199746.2
ENSDART00000140272	NM_001199952.1
ENSDART00000019907	NM_212787.1
ENSDART00000015418	NM_212687.1
ENSDART00000101304	NM_001246200.1
ENSDART00000104740	NM_200932.1
ENSDART00000104029	NM_001080078.1
ENSDART00000058965	NM_131098.1
ENSDART00000011967	NM_181761.2
ENSDART00000010081	NM_212998.2
ENSDART00000074294	NM_213499.1
ENSDART00000046670	NM_001002355.1
ENSDART00000080110	NM_001020626.1
ENSDART00000171244	NM_001135103.1
ENSDART00000115139	NM_001245960.1
ENSDART00000102210	NM_001013448.1
ENSDART00000160704	NM_001077254.1
ENSDART00000134218	NM_001114575.2
ENSDART00000052126	NM_201316.1
ENSDART00000144544	NM_182968.2
ENSDART00000172747	NM_001346205.1
ENSDART00000028265	NM_212834.1
ENSDART00000014685	NM_001017591.1
ENSDART00000139050	NM_001114723.2
ENSDART00000151804	NM_001109837.1
ENSDART00000151804	NM_001082886.1
ENSDART00000051699	NM_001030199.1
ENSDART00000169296	NM_001080024.2
ENSDART00000133039	NM_001256389.1
ENSDART00000052712	NM_001013508.2
ENSDART00000073651	NM_200407.1
ENSDART00000019235	NM_199968.1
ENSDART00000079528	NM_200571.1
ENSDART00000146106	NM_001197058.1
ENSDART00000100032	NM_212703.1
ENSDART00000089750	NM_001089548.2
ENSDART00000129202	NM_001326391.1
ENSDART00000062166	NM_001083070.1
ENSDART00000167065	NM_001123258.1
ENSDART00000002250	NM_194421.1
ENSDART00000015681	NM_131178.1
ENSDART00000081411	NM_001128523.1
ENSDART00000011724	NM_130936.1
ENSDART00000144283	NM_200875.2
ENSDART00000050534	NM_212821.1
ENSDART00000074929	NM_001100050.2
ENSDART00000026814	NM_001007775.2
ENSDART00000004043	NM_001017887.1
ENSDART00000171468	NM_001130798.1
ENSDART00000046542	NM_152969.1
ENSDART00000146410	NM_001305559.1
ENSDART00000167902	NM_001256350.1
ENSDART00000077897	NM_001002411.1
ENSDART00000156485	NM_001316950.1
ENSDART00000123748	NM_001128586.1
