tracking ID,0h,2h,4h,6h,8h,gene length,gene group
LOC565231,0.374637,0.552073,8.28013,29.7741,25.1361,605,4
LOC565422,0.970845,0.351699,0.10085,26.0193,56.2944,1211,3
LOC566050,1.18625,1.32279,1.39845,3.46601,2.4069,1427,4
LOC566052,27.2367,31.5649,24.1737,16.3424,11.2006,1160,5
LOC566907,44.7665,49.6155,49.6862,18.6476,10.1369,1485,5
LOC567180,35.5779,32.8709,31.4129,21.2084,20.1316,1821,1
LOC567472,0.175482,0,3.19945,4.15594,0.859848,1051,4
LOC567622,10.4411,7.51934,7.83208,2.66516,2.25907,3073,2
LOC569077,0.976565,1.88404,1.55029,2.18464,2.85815,1311,0
LOC569335,0.144348,0.408087,1.02417,0.579336,0.104388,789,5
LOC570474,5.22826,8.18551,10.5629,30.0367,37.4449,1360,4
LOC571123,0.0742498,0.131821,0.188008,2.01735,0.88077,1020,4
LOC571912,2.99319,4.22516,4.28816,4.59162,5.34654,1140,0
LOC572950,0.849252,0.811968,0.662679,1.0619,1.51731,785,0
LOC573060,0,0,0.000000623173,1.39418,2.67569,10520,3
LOC791704,1.48236,2.10597,0.662502,0.130366,0.42966,1374,2
LOC792137,56.8809,59.2144,49.8441,33.8305,12.6609,1286,5
LOC792189,0.000177952,1.05242,0.845526,1.28656,2.9978,1688,3
LOC792465,2.78032,1.05367,1.68371,2.2621,4.93435,664,3
LOC792509,0.659289,0.652084,1.05492,1.39769,1.13427,5567,0
LOC793213,1.60106,0.802438,0.639486,0.177108,0,1327,2
LOC793439,3.89955,3.35322,3.00438,1.10118,0.885433,4255,2
LOC794400,0.753046,0.87847,1.10911,1.1956,1.15641,972,0
LOC794484,3.95725,0.0367838,0.165743,0.0133403,1.02616,2118,2
LOC794656,0.115788,0.0833635,2.36794,5.41831,8.69577,2443,3
LOC794757,4.70199,2.54768,2.92774,1.43811,0.406881,882,2
LOC795545,10.6929,5.56436,9.37128,8.70504,11.1516,573,0
LOC795615,123.109,64.9305,290.652,648.649,808.991,5243,4
LOC796180,7.96356,6.56788,9.50355,8.34593,12.6951,2813,0
LOC796572,21.2681,24.6823,20.0736,15.2936,15.7491,1178,1
LOC797202,23.4721,23.9546,14.327,10.7738,13.8981,918,1
LOC797799,34.3349,35.3693,36.2144,17.0132,9.63802,1443,5
LOC798119,3.4013,2.02062,1.8187,1.11028,0.126999,708,2
LOC798231,5.33691,3.70496,3.42118,1.96042,2.31103,1461,2
LOC799523,0.415045,0.339041,0.858229,1.8171,5.5072,1759,3
LOC799537,15.5968,15.4212,16.3789,9.79688,5.46935,1197,5
MGC172218,156.185,107.559,80.7053,74.8132,46.7647,553,2
MGC174152,0.0549367,0.0520365,0.23308,0.222547,12.1816,1284,3
MGC174155,0.0530706,0.049699,0,0.485665,16.5309,2552,3
MGC174857,0.278553,0.106473,0.414552,0.384302,18.4027,1286,3
a2ml,0.35375,0.427207,0.419622,2.95599,121.021,4537,3
aacs,69.8877,66.8028,65.3341,17.9085,15.0067,2771,5
aadacl4,0.262799,0.148349,0.093308,0.486158,1.00647,1565,3
aagab,73.8805,85.6251,81.3545,44.14,9.82966,1529,5
aamdc,5.28511,7.64944,6.92945,7.31975,3.53567,982,1
aamp,44.8108,43.2671,32.1212,26.0762,26.3152,1824,1
aanat1,3.38076,1.78671,2.0946,2.72193,1.024,1597,1
aanat2,3.1837,2.80463,2.49513,1.79296,1.57358,1403,1
aar2,23.2516,16.4617,17.9934,7.53699,9.36157,1378,5
aars,107.39,111.299,116.439,135.472,120.391,4372,1
aarsd1,20.3512,17.7171,18.7805,13.5525,6.4052,1569,5
aasdhppt,1.87799,1.97392,1.94011,2.11888,1.89078,1197,1
aass,23.0951,23.333,24.1821,11.9562,3.37715,3165,5
aatf,77.7808,84.1068,85.7286,82.6148,74.9421,2330,1
abat,58.8283,73.5587,71.7076,51.5099,29.0893,2245,1
abca1a,0.386699,0.291091,0.342167,0.781668,3.09816,9626,3
abca1b,0.202032,0.139666,0.47677,16.3561,43.5682,8390,3
abca4a,1.49824,1.30203,1.74803,1.25457,1.85313,1387,1
abca5,41.3359,47.7493,40.6048,19.3422,4.12586,5349,5
abcb4,4.35439,4.07965,2.20339,0.754555,0.353702,2137,2
abcb6a,53.4976,55.5139,71.1672,69.4251,34.3196,2939,1
abcb8,58.8427,54.6888,37.3152,10.8356,4.43896,2591,2
abcc2,1.02302,0.792106,0.619238,0.54004,3.21027,4856,3
abcc4,14.4959,12.7705,9.04773,3.49562,2.79266,5519,2
abcc5,0.529339,1.04653,1.85433,2.51709,2.22581,4281,0
abcc8,2.0601,1.66578,1.39044,2.52381,0.601013,4943,1
abcd1,4.47962,2.73199,3.08726,2.0025,1.05812,1994,2
abcd3a,75.4941,74.3783,53.2864,6.05599,4.03034,2802,2
abcd3b,17.563,21.6284,20.6532,14.5691,12.2771,1980,1
abcd4,16.1701,13.2557,8.05416,1.51494,1.76843,2151,2
abce1,134.11,124.166,123.631,198.061,263.146,2747,0
abcf1,21.2322,17.4201,22.7456,39.3699,59.2182,3362,0
abcf2a,541.273,565.575,638.997,574.409,385.004,2419,1
abcg1,1.68936,1.37501,1.2691,1.10619,1.05559,3267,1
abcg2a,12.6378,16.9072,11.8053,6.89653,2.95666,1688,5
abcg2c,16.4443,19.7676,16.3591,11.9892,14.5066,2145,1
abcg4b,0.900359,1.24229,0.661951,0.406217,0.302594,2762,2
abcg5,0.696514,0.254989,0.415642,0.867959,1.14953,2054,0
abhd11,9.0247,7.51128,4.84967,2.56296,1.4578,1179,2
abhd12,20.0618,19.1755,19.2961,14.5147,27.7107,1779,0
abhd13,21.4042,20.8867,24.6442,4.0703,3.20472,1322,5
abhd14a,26.0564,19.4682,23.3317,16.9941,8.95099,1266,5
abhd14b,1.59322,1.96758,3.57571,13.9085,5.76499,2285,4
abhd16a,37.7004,35.9271,33.6955,7.54271,5.63496,2169,5
abhd17aa,57.171,56.6107,57.2546,49.4398,22.2263,1551,1
abhd17b,62.4559,60.8629,34.9519,4.99694,4.30165,1404,2
abhd17c,31.245,32.9566,36.8691,15.5546,8.64905,2789,5
abhd2a,21.2363,23.1406,18.8251,5.33732,2.41118,1646,5
abhd4,27.236,25.1897,27.3256,10.4263,1.50168,1564,5
abhd6b,6.00139,3.62421,2.17096,0.795397,0.668566,1177,2
abi1a,0.683056,1.772,1.40444,0.61665,2.58518,1551,0
abi1b,4.06358,2.75347,2.92381,1.8417,1.25062,2007,5
abi2a,8.74558,8.15047,9.31014,5.95262,6.52798,1428,1
abi2b,28.6046,24.5616,26.0923,17.03,8.98763,1889,5
abl2,15.9636,12.25,13.1859,6.45178,4.75577,3408,5
ablim1b,0.663167,0.359072,0.640516,1.132,1.66989,1668,0
abo,1.67173,5.12827,3.97462,1.73711,1.61806,937,5
abrab,0.401447,0.319288,2.33562,3.00984,2.12739,2077,4
abracl,85.2112,111.737,102.035,131.919,107.137,1927,1
abt1,101.726,90.097,75.8037,70.5757,86.7674,1409,1
acaa1,7.19144,11.2166,10.5697,11.5176,6.36232,1646,1
acaa2,72.8436,70.7472,77.5278,78.9448,63.7021,1898,1
acaca,11.8241,10.6112,10.8703,5.758,9.7902,8343,1
acad11,6.04219,6.57539,8.75913,4.87846,1.6595,2762,5
acad8,38.7348,38.7897,29.133,7.34495,3.03391,1653,2
acad9,16.8222,16.3851,15.1861,4.40917,3.68502,2353,5
acadl,122.383,138.909,122.467,17.3502,2.47678,1730,5
acadm,589.495,589.564,416.403,118.058,33.3311,1631,2
acads,50.0128,28.9431,24.2002,15.9222,21.7547,1543,2
acadsb,27.3364,20.98,20.0373,22.7652,21.8331,1057,1
acadvl,58.1646,66.9722,78.5567,66.0705,51.0006,2465,1
acap1,3.38727,2.87162,4.24455,23.5302,10.2853,3263,4
acap2,42.1602,45.7371,46.1748,32.995,13.3815,1214,5
acap3b,68.5049,61.7047,69.9625,14.4201,2.90262,2943,5
acat1,141.85,147.928,108.59,22.3681,6.17327,1939,2
acat2,27.9587,38.3312,39.3363,21.7713,7.92988,1938,5
acbd3,63.8642,57.9353,66.6419,28.6347,32.8815,972,5
acbd4,0.227118,3.18554,3.71052,0.409374,0.537061,1690,5
acbd5a,15.6966,20.4246,22.5744,2.94208,2.98768,3206,5
acbd6,4.28621,5.69395,3.91384,4.58411,4.93242,3158,1
acbd7,0.907901,0.930563,1.63093,3.52733,6.08362,907,3
accs,90.945,92.2562,77.9043,12.0057,10.0319,2402,2
acd,25.6551,21.9189,13.2489,3.32013,3.51282,1619,2
ace2,0.823514,1.50122,1.83822,1.09474,0.474184,2858,5
acer1,14.769,16.4469,14.1516,211.995,239.683,1574,4
acer3,0.31298,0.289962,0.546039,2.52424,8.4683,1053,3
ache,0.275188,0.184205,0.374874,1.0928,0.869705,2557,4
acin1b,99.1368,93.0832,108.565,128.015,103.9,4421,1
ackr3b,0.413291,0.294236,33.723,41.3561,67.663,1937,3
aclya,54.8167,52.9453,33.5074,16.9252,20.8237,4407,2
acmsd,0.661742,0.82832,1.33281,1.47726,2.30196,1568,0
aco1,21.5237,20.982,21.0359,15.1033,13.6917,2673,1
aco2,123.752,114.669,147.67,137.427,67.6797,3473,1
acot11a,9.05094,6.41172,5.6179,3.23024,1.48227,1734,2
acot11b,2.06612,1.86695,3.20581,1.62125,0.931944,1745,5
acot13,7.65753,5.58401,4.42606,7.17653,10.1096,505,0
acot7,8.1373,8.71783,10.8896,7.94303,5.04963,1055,1
acot8,5.98534,6.35008,4.487,1.09617,0.523702,1485,2
acot9.1,41.3844,45.6992,47.7736,14.9476,3.84097,2375,5
acot9.2,3.92905,4.20631,4.65807,1.771,0.952934,1866,5
acox1,14.0857,4.72691,3.99971,3.26153,1.78499,2592,2
acox3,12.5779,22.905,20.1685,9.54976,1.60203,3750,5
acp1,37.237,50.3265,38.8926,36.3145,29.5664,1366,1
acp2,57.8348,54.6489,50.4576,17.2066,11.0178,1160,5
acp5a,1820.7,2115.07,1542.33,411.586,178.033,1667,2
acp6,1.86,2.70352,3.79911,2.35792,1.09764,1770,5
acrc,66.7358,74.0281,43.597,14.9256,24.5918,2294,2
acsbg2,32.3432,25.2114,19.1883,52.7943,43.0511,4080,0
acsf2,6.18432,7.54425,9.45473,11.4033,4.61589,2901,1
acsl1a,1.06214,1.17852,0.974453,2.22281,4.88195,3237,3
acsl1b,14.3426,12.3391,9.54954,7.94513,24.4226,2275,0
acsl3a,2.94485,3.0736,3.06966,1.82355,3.95814,2142,0
acsl3b,20.3141,18.1505,22.9572,20.4934,15.359,4613,1
acsl4a,78.9666,85.1577,67.4157,28.6882,79.2946,3851,1
acsl4b,35.8894,40.9143,48.4417,32.2239,4.25574,3740,5
acsl5,11.6035,11.7531,9.19954,3.76712,10.3901,3099,1
acsm3,0.10799,0.129223,1.07871,3.16062,3.21609,3790,4
acss1,32.1333,33.1889,36.7792,39.9568,51.3493,3266,0
acss2,64.6441,60.0637,65.5462,65.6719,31.1698,2678,1
acss2l,1.61189,1.81453,1.61245,11.2605,17.387,1932,3
acta1a,1.75893,0.614743,0.5869,0.827843,2.08143,1586,0
acta1b,5.21357,4.32485,4.67147,5.4708,5.98011,1497,1
actb1,2519.04,2566.53,2064.79,2303.49,2512.66,1672,1
actb2,524.647,466.239,518.375,813.916,1234.61,1767,0
actc1a,0.321303,8.97425,9.72522,9.47809,25.9951,1300,3
actc1b,3.21195,2.91401,3.06241,4.07472,6.59264,1251,0
actl6a,177.293,183.116,201.507,316.109,316.456,1818,0
actn1,1.12003,1.00934,0.754528,0.779338,0.928211,3656,1
actn2b,3.3471,3.57065,3.79797,1.381,0.44486,2956,5
actn3b,0.59379,0.461749,0.486183,1.0532,1.31623,4688,0
actn4,24.0176,24.7782,37.4115,38.7895,37.6451,2168,0
actr1,28.4547,23.2649,24.7593,15.4699,16.5687,2513,1
actr10,41.9549,36.5386,36.871,18.4413,11.5771,2457,5
actr2a,121.052,123.47,98.9398,130.2,154.024,1671,0
actr2b,21.1719,18.2556,18.189,14.7073,12.4256,1342,1
actr3,75.7049,59.9799,77.8415,86.1214,111.177,909,0
actr3b,1.46736,1.31503,0.88419,0.982946,0.563665,1311,1
actr5,40.0899,43.1954,38.4807,16.8735,12.9111,1923,5
actr6,27.5298,28.8806,29.3815,42.031,50.3914,1684,0
actr8,51.5323,49.6347,52.2857,19.2135,18.9625,2201,5
acvr1ba,101.485,102.511,106.377,129.884,63.6726,1518,1
acvr1l,116.432,112.804,140.107,201.01,164.882,3453,0
acvr2aa,42.9732,39.9822,38.1095,11.0948,19.0695,3746,5
acvr2b,32.1182,21.7359,31.8297,17.1196,11.3178,4337,5
acvrl1,0.166978,0.137402,0.215082,0.279017,1.83449,2672,3
acy1,3.10793,3.01661,2.95965,3.02005,2.60286,2604,1
acy3.1,12.1912,9.90709,7.60983,5.70874,4.8565,1497,2
acy3.2,2.28093,1.32593,1.3352,30.47,49.7222,1269,3
acyp1,8.00384,10.6603,5.32843,3.00843,2.66385,603,2
ada,0.442017,0.763145,0.867514,1.22193,1.40153,2321,0
adad1,53.8784,44.8191,30.4285,5.72244,0.839444,2459,2
adal,4.95036,4.29696,2.32173,1.58511,1.33908,1469,2
adam10a,53.1713,49.9297,53.4484,57.0544,46.5518,4450,1
adam10b,5.04363,4.29531,4.6782,3.83976,4.40013,1808,1
adam17a,20.3421,25.0527,27.0565,22.3263,12.5603,5410,1
adam28,1.57265,1.79606,0.999107,4.08159,13.8109,1458,3
adam8a,9.44536,10.1598,9.31163,1.81442,3.5766,3249,5
adam9,11.3887,15.8903,14.2241,4.58404,2.24995,1180,5
adar,13.2937,12.5749,14.1345,17.911,16.0302,7238,0
adarb1a,19.8387,8.08041,12.8619,17.02,15.3838,5967,0
adat1,4.22344,5.2991,4.26845,1.3086,1.63784,1590,5
adat2,40.0774,49.081,47.3768,25.736,18.5193,791,5
adat3,51.6607,61.2281,38.8384,12.9969,10.545,1476,2
adck1,29.5923,25.5441,26.2229,12.6811,1.43047,2297,5
adck3,167.765,182.612,152.584,57.6022,27.4977,3254,5
adck5,15.0989,14.415,13.3863,3.52586,2.80303,1817,5
adcy1a,1.60787,1.23724,1.06574,0.317809,0.249815,3766,2
adcy2b,2.08429,1.73333,2.01308,2.22032,1.63077,3420,1
adcy3,2.01228,0.722463,0.864396,0.589619,0.582249,3241,2
adcy5,32.3917,31.666,34.7228,8.8465,0.988006,3809,5
adcy7,5.62652,4.29026,4.28956,3.29165,2.00179,3500,5
adcy8,13.9309,12.4726,14.3479,4.17101,3.14261,2782,5
adcyap1r1a,0.930967,2.0419,0.787919,0.957104,0.701754,1534,2
add1,14.4464,13.1206,16.9997,19.4927,18.6825,2967,0
add3a,10.2797,17.1973,20.0134,22.5396,29.6969,2883,0
add3b,0.493341,0.520875,0.811172,49.1702,99.3322,2432,3
adgrl4,4.97246,6.17619,5.18674,2.34101,0.772192,2491,5
adh5,115.932,132.107,143.567,133.553,108.487,1290,1
adh8a,5.90781,6.74828,5.47551,4.77329,2.71008,1480,1
adh8b,68.7893,63.1522,53.4362,51.0174,38.5581,1484,1
adhfe1,36.059,38.9885,43.2635,31.5897,12.1084,1994,5
adi1,58.1919,50.9087,50.9937,54.9166,50.9832,1329,1
adipor1a,121.987,89.2712,69.5227,13.0036,14.097,1967,2
adipor1b,86.2315,93.1804,100.746,64.9287,41.6278,1856,5
adipor2,92.4983,102.827,99.1531,88.0325,56.1349,1746,1
adka,50.2962,65.0893,76.8958,96.3278,74.9291,2715,0
adkb,89.1593,78.8382,100.306,106.283,83.7507,1827,1
admp,0.590811,0.782869,7.75496,16.0297,29.8653,1861,3
adnp2a,27.097,26.4768,25.1638,4.73054,3.98056,3703,5
adnp2b,22.1036,22.2312,15.6033,10.5006,13.8713,3619,1
adnpa,122.299,113.485,125.932,90.1049,82.4402,3637,1
adoa,29.0172,32.7081,24.9397,18.9653,20.1411,1646,1
adob,16.0647,17.4357,15.5007,2.66752,2.8544,3612,5
adora1,0.17138,0.3791,0.131452,2.88925,5.24815,1026,3
adora2aa,0.277345,0.202568,2.78707,6.77844,7.51716,1373,4
adora2ab,0.10375,0.0493763,0.141491,3.28454,17.4024,1455,3
adora2b,0.471205,0.423686,2.70164,1.08371,0.676144,1164,4
adpgk,18.7032,15.599,14.8537,11.3741,5.07765,2776,5
adprh,7.58828,9.07888,6.73396,4.32944,1.70983,1713,5
adprhl1,1.54888,1.91129,2.00585,2.5773,2.52958,1520,0
adprhl2,11.4571,14.1601,13.1036,5.27672,4.72241,1614,5
adprm,16.4229,15.4928,15.8015,42.3212,33.994,1579,4
adrb2b,1.72249,0.740241,0.559026,0.467047,0.237451,3671,2
adrb3a,1.02821,0.960212,0.807566,0.345721,0.0808677,2024,5
adrbk2,11.6584,12.8596,11.4667,10.2127,9.19831,2067,1
adrm1,29.3572,29.1445,15.6031,20.6931,38.2781,1515,0
adsl,95.6626,88.5912,65.4699,31.7199,55.1965,1690,5
adss,0.72362,0.651463,0.870284,1.13676,2.48663,2125,3
adssl,137.3,139.002,153.267,95.1933,107.334,1733,1
adssl1,4.64312,3.56609,4.75581,7.85738,15.9689,4008,3
aebp2,41.8751,35.9477,55.988,54.9549,58.9947,2233,0
aes,5.2839,3.34098,3.69228,1.86897,1.16739,1465,2
afap1l1a,52.7507,49.4256,48.9862,4.12806,1.03592,2545,5
afap1l1b,5.95519,4.60632,1.66685,1.30284,0.994614,2342,2
afg3l2,20.6159,25.7006,21.3296,2.98484,4.62495,3459,5
afmid,35.8322,51.1794,41.3323,14.2675,3.76271,1375,5
afp4,0.941955,0.21024,4.38557,989.194,3382.06,538,3
aftpha,32.6839,32.1546,30.4157,9.54121,7.81978,2840,5
aga,33.5879,27.6493,28.7052,31.2098,26.2992,1286,1
agbl2,1.67985,1.01187,0.833697,0.41553,0.337129,2907,2
agbl4,1.87824,3.11512,2.61412,0.640972,0.708555,999,5
agbl5,3.71219,2.99256,3.30118,3.04301,2.21964,3097,1
agfg1a,23.3268,17.423,12.2001,5.14347,6.77305,2529,2
agfg1b,1.86073,1.26198,1.64012,3.70471,7.84411,2261,3
aggf1,62.7909,57.1552,60.3826,31.1018,31.152,2453,5
agk,33.0216,33.1353,31.0501,21.0541,16.7786,2480,1
agla,5.29431,6.08137,5.52156,1.56168,1.97304,5159,5
agmat,4.6843,2.63484,4.81179,4.28928,2.80755,1435,1
agmo,8.08216,17.6186,17.6213,2.54166,0.807573,1920,5
ago2,55.1241,48.6767,64.0547,45.703,46.4406,2941,1
ago3b,47.6756,42.0348,45.8007,12.3952,5.87596,3062,5
ago4,53.8352,39.934,48.9947,28.2501,14.0622,2418,5
agpat2,7.67829,5.05217,6.25938,20.8068,30.7373,3277,3
agpat3,12.6066,11.0511,12.9696,9.23911,7.0248,2424,1
agpat4,24.2035,26.345,28.0392,17.6618,22.8657,1867,1
agpat5,50.4521,56.8913,61.2834,43.4431,48.8447,3661,1
agpat9l,0.324183,0.325908,0.250387,0.840776,2.70576,1856,3
agps,31.3281,23.0498,27.7614,13.2526,4.37284,2056,5
agr1,0.63037,0,0.819751,45.9944,242.795,781,3
agr2,0.403352,0.401055,1.03514,0.363973,0.605417,1128,0
agrn,0.424577,0.28639,0.546311,0.522583,1.01681,6239,0
agrp2,1.43909,0.729111,0.715614,0.847237,0.262953,749,2
agtpbp1,8.45205,6.86577,5.20622,1.93511,1.41939,3677,2
agtrap,4.05857,2.94006,1.62312,0.877795,3.98189,670,0
agxt2,0.555178,1.31657,1.28178,1.01278,0.460059,1949,1
ahcy,265.426,270.596,259.278,228.1,151.353,1922,1
ahcyl1,0.528607,0.660951,0.840321,0.687537,2.6375,3503,3
ahcyl2,86.1958,85.568,95.9796,83.3813,31.2196,2137,1
ahi1,11.6435,11.762,7.49092,11.3025,24.0597,3210,0
ahr2,5.25181,5.31532,5.27635,2.2359,1.189,7055,5
ahrrb,2.01521,0.923032,1.13717,0.40138,0.208256,1779,2
ahsa1a,0.915267,1.65646,2.31175,11.7479,10.9331,1765,4
ahsa1b,176.052,188.814,209.722,197.004,143.297,1609,1
aida,47.4831,52.9065,47.3908,7.99074,5.78741,1371,5
aif1l,287.06,311.93,366.488,477.824,256.626,2196,1
aifm1,62.3692,49.9431,45.0253,28.2469,19.3032,2428,5
aifm2,18.3492,32.5378,20.689,9.75923,15.8164,1536,5
aifm4,54.1023,80.6701,54.1383,25.1606,6.27597,1740,2
aimp1,61.0621,63.6127,56.4068,65.053,75.3449,1146,1
aimp2,39.5839,33.7944,38.6695,18.8697,15.9475,1428,5
aip,96.4517,111.591,76.1847,64.6605,75.682,1663,1
ak1,0.726074,0.72341,1.17672,1.04389,2.47192,777,3
ak2,105.625,100.336,100.054,60.5438,57.6649,1434,1
ak3,2.55741,1.38013,7.68822,291.686,329.69,2003,4
ak4,19.2954,21.0681,22.7611,24.0096,5.89158,2215,1
ak5,0.856262,1.16901,1.19244,0.777144,0.625771,1692,1
ak5l,1.32577,1.50818,1.09734,0.532308,0.392559,1617,5
ak7a,0.481628,0.435707,1.32475,0.40895,0.133619,2154,5
ak7b,1.09647,0.679388,0.51529,0.388473,0.429528,2424,2
akap12b,1.30958,0.978926,98.071,947.45,948.155,6787,4
akap17a,16.6577,14.0552,18.8005,14.2237,9.67462,3897,1
akap1b,20.5484,20.6935,17.7676,9.49637,11.4765,3083,5
akap2,0.187378,0.211028,0.286005,0.404151,1.0884,10195,3
akap8l,46.8557,34.3935,50.9587,106.092,131.019,2307,0
akip1,303.01,477.919,405.223,87.052,31.5529,507,5
akirin1,57.845,51.2535,70.6103,71.3501,58.7344,1290,1
akirin2,86.1534,84.8143,100.596,96.9666,92.349,1525,1
akr1a1b,86.0963,84.7508,57.5085,32.5027,18.3867,1144,2
akr7a3,28.8438,47.1644,38.9645,25.1186,36.1642,1308,1
akt1,1.02113,1.9135,1.70391,0.901839,0.210739,1315,5
akt2,29.8112,25.3458,18.61,17.8759,24.5547,3318,1
akt2l,32.0429,31.0247,32.2116,11.4753,2.79373,1699,5
akt3a,9.52297,5.44784,5.23885,1.1684,0.356707,2845,2
aktip,150.72,157.094,186.098,69.1239,12.7732,2115,5
alad,31.1971,33.9358,23.4168,15.8274,12.8693,1368,5
alas1,119.733,85.3035,111.989,111.404,52.4014,2030,1
alas2,0.14695,0.173319,0.125737,0.527291,2.03047,2482,3
alcama,1.41539,1.76528,2.41465,1.44042,4.05831,2057,0
alcamb,0.378169,0.35771,2.81634,223.12,628.888,3083,3
aldh16a1,29.6324,25.8026,24.233,5.135,1.08504,2870,2
aldh18a1,331.503,300.233,304.541,248.306,83.4892,4423,5
aldh1a2,0.363864,0.430335,0.41965,31.3367,114.666,2234,3
aldh1l1,32.4998,32.0675,29.1893,20.0403,10.1516,2770,5
aldh2.1,27.8059,29.0873,30.0198,31.6625,25.9622,1922,1
aldh2.2,83.3951,97.5924,95.397,99.1966,72.0114,1976,1
aldh3a2a,111.638,109.595,112.157,22.6627,10.3768,1977,5
aldh3a2b,0.482119,0.186448,0.411239,1.10513,3.63198,948,3
aldh3b1,52.2122,51.6521,42.3718,63.3415,87.2883,1943,0
aldh4a1,8.68759,8.47203,6.9692,6.82532,18.0088,1961,0
