tracking ID,0h,2h,4h,6h,8h,gene length,gene group,0h overlap,0h #ofCLIPpeak,0h #ofm6Apeak,2h overlap,2h #ofCLIPpeak2,2h #ofm6Apeak3,4h overlap,4h #ofCLIPpeak4,4h #ofm6Apeak5,6h overlap,6h #ofCLIPpeak6,6h #ofm6Apeak7,8h overlap,8h #ofCLIPpeak8,8h #ofm6Apeak9,wild-type 0h,wild-type 2h,wild-type 4h,wild-type 6h,wild-type 8h,mKO Y2-/- 0h,mKO Y2-/- 2h,mKO Y2-/- 4h,mKO Y2-/- 6h,mKO Y2-/- 8h,wild-type 6h,wild-type 8h,wild-type 12h,wild-type 24h,mzKO Y2-/- 6h,mzKO Y2-/- 8h,mzKO Y2-/- 12h,mzKO Y2-/- 24h,wild-type 16h,mzKO Y2-/- 17.5h,wild-type MO 24h,mKO + MO Y2-/- 24h,wild-type MO 36h,mKO + MO Y2-/- 36h,wild-type MO 48h,mKO + MO Y2-/- 48h
LOC100003669,0.457782,1.97302,0,0,0,318,2,,,,,,,,,,,,,,,,0,0.502817,0,0,0,1.08386,0.417928,0,0,0,0,0,7.03127,10.9768,0.475365,0,3.99465,7.2674,9.31941,6.13067,31.7719,42.7043,55.195,45.5301,21.8606,19.3414
LOC100006053,0.917168,1.12124,0.547648,0.913217,0.545471,2062,1,,,,,,,,,,,,,,,,0,0.526315,0,0.0349736,0.0259609,0.0435984,0.0687303,0.152548,0,0,0.0792846,0.0371845,0,0,0.0374378,0.0728913,0,0.0510776,0,0.0778069,0,0,0.0154041,0.0452384,0.108063,0.0519407
LOC100006122,0.00763126,0.279051,1.00808,1.56884,3.23831,1632,3,1,1,0,0,0,0,2,0,1,0,0,0,2,0,1,0.369876,0.471414,2.53524,0.000074898,0.904319,0.837621,0.262481,1.12604,3.83056,1.747,0.492706,1.73071,1.94283,1.09522,0.0848865,1.3371,0.623742,1.4531,0.598368,1.25568,1.16763,0.25434,2.66634,2.37954,0.168487,0.988991
LOC100006564,0.0725337,0.381559,4.03098,12.9441,16.8372,2425,3,,,,,,,,,,,,,,,,0.0179996,0.122756,4.90505,7.26309,8.56345,0.0385625,0.0216268,5.63505,19.2243,17.5686,5.01213,4.41613,4.80543,8.26249,3.14063,3.88965,4.20383,6.70983,5.62216,7.09797,8.1104,8.23568,6.64215,10.1178,14.6975,16.2839
LOC100006793,2.3182,0.00149786,2.94356,4.71411,13.0531,1472,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3.71573,0.00190383,0.00297841,7.36156,9.79993,0.000483785,2.85519,5.08937,4.73905,0.0242789,1.73792,5.53478,5.01011,3.76475,0.936453,6.18877,7.22611,2.53007,5.12336,0.00873679,16.6188,23.1426,23.313,36.4511,16.7901,21.0625
LOC100007315,1.88786,4.11617,4.21307,0.801773,0.0000222566,1215,5,,,,,,,,,,,,,,,,2.86645,4.28898,0.7903,0.0901261,0.347263,2.59157,2.90843,3.59521,0.749996,1.94897,0.132691,0.83546,0.510344,0.656945,0.424023,0.0783312,0.590644,2.91358,1.52269,0.744924,7.77967,11.1004,20.3201,17.5517,18.1922,19.7536
LOC100008037,0,0,0,0.726872,1.58649,462,3,,,,,,,,,,,,,,,,0,0,1.10894,0.6642,0.178332,0,0,0,0.571551,0.86111,0,0.279639,0.147032,0.20584,0,0,0.573739,1.06413,0,0.627441,0,0.153358,0,0.421131,0,0.280582
LOC100141478,0.000059159,2.37439,0.0000529351,0.000244786,2.9189,541,3,,,,,,,,,,,,,,,,0,1.9389,1.91913,0.0000516642,0.696972,0,0,0,0.00012196,0.000097293,0.0000809432,0.000100596,0.0000349579,0,0,0,0,0,0,0.0000266474,0.0000189468,1.24062,0.0000210019,0.0819058,0.25583,0.121609
LOC100141479,1.42687,1.45276,2.32097,3.32282,0.292639,472,4,,,,,,,,,,,,,,,,0,0.000514895,1.32835,0.274964,0.000110121,0,0,0,0.558826,1.83363,0.405984,0.415306,0.205046,0,0,0,0,0,0,0.18152,2.03343,1.22842,1.52033,1.47227,0.000274895,0.928448
LOC100148329,0.317575,0.39433,0.343297,0.38958,2.88231,1694,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0630989,0,0.241011,0.22208,4.516,0,0,0.43072,0.209441,5.03994,0.141171,1.43673,9.66166,13.1482,0,1.10066,7.86151,11.8007,20.24,7.49681,72.9576,65.022,152.614,128.35,31.6966,41.2336
LOC100149066,0.133194,0,0.0608529,0.168046,4.26808,1673,3,,,,,,,,,,,,,,,,0,0,0,0.181552,3.39915,0,0,0.0964129,0.122705,6.5207,0.0821992,1.39147,9.61486,15.1738,0,1.65533,8.577,9.66106,15.5491,5.74291,62.8158,52.8763,132.138,124.604,24.6337,28.4745
LOC100149164,108.993,107.883,74.9856,42.2069,45.5837,1019,5,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,62.6511,47.015,35.3186,27.1507,18.0127,52.3983,48.7545,55.6995,32.2597,20.5569,11.5234,14.317,4.42731,1.51715,18.2024,12.7666,4.39548,1.79118,3.44752,2.35721,5.12353,5.20871,5.49765,5.635,1.83277,2.40954
LOC100149189,1.17763,1.0964,0.801907,0.843218,0.959608,1314,1,,,,,,,,,,,,,,,,0,1.388,1.86553,1.37432,1.85705,2.63161,2.8958,2.81793,1.55963,2.42992,0.372487,0.706476,1.50147,4.85333,0.513235,0.878443,1.98175,5.74893,1.9765,3.74074,5.65356,5.26737,9.75846,11.8766,16.5821,13.9715
LOC100149863,0.326498,0.114001,0.18992,0.280359,4.28604,966,3,,,,,,,,,,,,,,,,0,0,0.733089,0.189516,4.32238,0,0.0544627,0.491378,0,3.22887,0.117653,2.72289,9.23312,13.9753,0,0.782994,8.33653,10.6864,14.5053,8.44126,42.8959,41.5133,95.5028,83.3054,26.7178,31.724
LOC100150082,20.3857,22.9952,7.68954,0.457287,0.0001239,1815,2,,,,,,,,,,,,,,,,9.68544,5.68202,2.09942,0.000120995,0.000104464,9.33097,12.6653,8.33293,0.000172628,0.000180536,0.00012857,0.000256253,0.00254232,0.0000855379,1.6735,0.000121636,0.0000853874,0.000130342,0.000295528,0.000182709,0.000076081,0.0000494034,0.0000456378,0.000135643,0.0000426549,0.328722
LOC100151273,58.0458,51.2998,55.0165,17.1076,11.7658,1731,5,1,2,0,1,5,0,3,4,1,0,0,0,3,1,1,78.7174,75.2905,45.7024,14.5713,16.0315,66.7073,67.8638,50.0157,11.843,10.4102,8.03757,5.05103,4.66798,4.54527,11.7582,5.08252,4.29869,4.15552,3.93482,5.01251,5.27503,3.73531,3.58576,3.1262,1.54466,1.77735
LOC100189617,46.8139,56.559,37.5141,38.1359,33.6553,2456,1,0,0,0,1,1,0,2,0,1,0,0,0,2,0,1,14.8824,17.7453,16.0361,9.22421,9.13338,14.6951,14.7426,17.5136,21.1208,12.6123,6.73506,3.82531,3.87264,2.77608,3.28915,3.26003,1.41528,0.00935528,3.32262,3.32045,8.38607,5.89614,8.20378,6.06205,2.20847,2.85823
LOC100216314,0,0,0,0,7.88227,136,3,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100301575,946.05,1067.83,411.632,103.281,22.9223,638,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,738.77,557.78,145.125,26.493,8.89303,1222.53,996.329,418.096,34.8318,15.4306,25.3124,6.75665,1.38302,0.648714,67.1367,10.144,2.10965,0.716203,1.11752,1.61334,0.81146,0.627745,1.45978,1.76236,0.29315,1.09703
LOC100329294,0,0,1.10994,23.1767,223.445,286,3,,,,,,,,,,,,,,,,0,0,0,26.3008,121.61,0,0,0,13.4299,88.4847,4.11613,28.4353,48.1411,5.36837,0,13.4288,51.9785,0,27.2141,3.67018,14.2682,11.7468,15.9497,10.8788,2.42961,2.89252
LOC100330584,14.7237,13.2385,10.1516,5.3114,0.475245,627,2,,,,,,,,,,,,,,,,6.50481,6.06721,5.34162,0.715524,0,3.05388,3.04195,4.09332,0.398978,0,1.02229,0.553256,0.121335,0.333045,4.04173,0.413588,0,0.445456,0,1.13051,0,0.0733507,0.0693839,0,0.0989436,0.0817753
LOC100331176,5.79409,2.79811,2.58763,1.24058,0.776432,1632,2,,,,,,,,,,,,,,,,1.315,1.31295,1.50846,0.294887,0.327856,0.753336,0.790441,1.45526,0.687538,0.195712,0.407978,0.104706,0.0520429,0.0586332,0.26073,0.165246,0.123361,0.336677,0,0.491072,0.108333,0.0546501,0.101364,0.0467583,0.370523,0.171753
LOC100331689,14.5348,13.8284,11.0827,2.02844,0.47323,980,2,,,,,,,,,,,,,,,,3.12107,3.53305,3.50646,0.19874,0.143749,7.02324,7.54978,7.34008,0.581135,0.477759,0,0,0.059714,0,0.100711,0,0,0.216355,0.102164,0,0,0,0.0508493,0,0,0.035932
LOC100332913,2.47182,2.43448,2.52631,2.1586,2.63916,3609,1,,,,,,,,,,,,,,,,0.859226,1.04232,0.529525,0.968644,1.1921,0.379262,0.38617,0.276035,0.263072,0.224169,0.16162,0.141258,0.168733,0.155543,0.113645,0.237559,0.148162,0.34036,0.2466,0.5246,0.201001,0.187477,0.301392,0.118043,0.796483,0.772624
LOC100333064,359.874,314.464,276.257,211.467,149.822,479,5,2,0,1,3,1,1,2,0,1,2,0,1,2,0,1,207.777,217.828,185.944,100.47,86.8091,268.025,207.54,207.026,112.622,117.014,74.4456,63.0802,74.7755,104.445,65.3572,57.6462,89.4235,145.587,93.6796,82.6337,467.374,483.299,667.735,721.636,273.732,308.738
LOC100334155,0,0,0,1.0077,1.06212,344,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611608,0,0,0,0,0,0,0,1.23937
LOC100499487,100.77,74.2272,67.9669,35.5966,32.1637,347,2,,,,,,,,,,,,,,,,104.922,117.876,66.371,30.9333,35.0551,134.191,126.983,77.7692,19.0688,32.2159,16.4823,16.3526,21.8276,17.9637,11.1951,14.0338,20.1912,15.1743,11.3621,7.12645,9.5116,9.35319,7.15152,3.74506,3.69633,5.47243
LOC100500728,0.215357,0.100765,0.275508,1.23934,0.78051,797,4,,,,,,,,,,,,,,,,0,0,0.843177,1.40009,0.90732,0,0.204612,0,1.13741,0.486272,0.199016,0.412093,0.542439,3.0522,0.8616,0,0.181949,3.86627,0.837095,1.8022,14.523,9.96613,15.7374,14.6723,12.8248,13.5844
LOC100534660,35.9604,33.1881,18.6802,19.245,30.5871,528,1,,,,,,,,,,,,,,,,23.9675,24.014,6.63613,6.00681,9.32828,28.947,29.1361,20.9428,12.3263,10.167,3.87453,6.54028,8.70515,10.119,4.39245,8.73797,10.3133,9.12442,11.6143,5.99554,90.1835,60.5672,97.48,95.8885,32.3404,32.4584
LOC100535473,35.8784,37.7927,36.0736,7.92805,1.83721,664,5,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,54.7947,45.1726,18.9097,1.45679,7.44591,56.9061,56.2372,35.8632,5.76513,5.51499,1.89271,1.04471,14.0686,5.23374,4.01995,0.698961,13.761,19.3885,18.8304,23.1015,16.5261,18.564,12.3533,15.8129,8.61151,9.3484
LOC100537295,0.11495,0.220808,0.100537,0.497911,6.68042,896,3,,,,,,,,,,,,,,,,0,0,0,0.839619,13.1902,0,0,0.15359,0.531333,2.87885,0.102999,0.5666,1.98653,0.622562,0.0963931,0.0986917,1.40136,1.11373,2.45295,1.00276,1.65481,3.03292,5.00927,14.537,242.854,354.671
LOC100537897,0.229499,0.568691,0.411295,0.423115,1.07726,2136,3,,,,,,,,,,,,,,,,0.367532,0.146915,0.212887,0.152183,0.0320769,0.0799863,0.252852,0.242354,0.107367,0.228029,0.0401208,0.226249,0.0589842,0.0278891,0.131988,0.0941269,0,0.279062,0.0812149,0.177897,0.136994,0.0795101,0.35071,0.0244959,0.41035,0.627482
LOC101882557,0,0,19.4888,79.1831,82.9188,1770,4,,,,,,,,,,,,,,,,0,0,49.1038,63.0144,59.2245,0,0,32.2775,56.7636,54.1873,21.3188,25.3474,26.6191,12.8932,33.8135,38.5407,36.8143,22.3974,14.9263,18.5595,38.9396,57.2774,111.686,76.2299,43.9802,47.5645
LOC101886520,0.83284,1.02618,2.13309,0.235096,0.860259,870,5,,,,,,,,,,,,,,,,0.43022,0.37237,0.287348,0.193366,0.224551,0.295166,0.481787,1.27279,0.125495,0.246519,0.160849,0,0.143468,0.263374,0.0842264,0.192845,0.126684,0.251656,0.64658,0.385621,0.923793,1.01088,0.919088,0.984085,3.61086,2.35985
LOC101887004,0.264249,0.335277,0.934869,1.20669,2.00418,1108,3,,,,,,,,,,,,,,,,0,0,1.10167,1.03458,1.39264,0,0,0.973894,2.69868,1.29414,0.299822,0.254464,0.100378,1.31377,0.647105,0.549744,0.250937,1.69088,0.418283,1.3687,0.587518,1.97892,1.8867,1.69351,2.01387,1.66913
LOC101887113,0.449298,0.723386,49.8128,192.543,227.649,1069,4,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0.0666055,39.6506,87.9394,123.094,0.0531731,0.0587458,44.9865,192.817,243.95,45.0621,70.28,88.8128,83.9867,78.7632,131.744,108.382,108.808,90.9537,108.347,72.5238,75.2029,88.241,83.8482,112.568,96.5522
LOC553228,2.55119,2.06291,2.38247,0.894894,0.87412,1399,5,,,,,,,,,,,,,,,,2.94441,2.33207,2.25171,1.07248,0.405928,4.80202,6.00306,7.94427,1.06894,0.447399,0.36439,0.248074,0.152833,0.14705,1.14456,0.643712,0.477743,0.292498,0.207778,0.48697,0.472495,0.587452,1.24952,1.28714,1.44568,1.74511
LOC553308,0.00331685,0.32551,0.387851,1.1641,1.85964,2568,3,,,,,,,,,,,,,,,,0.0234375,0.0434631,0.0458754,0.301527,0.707657,0,0,0.045001,1.17593,2.07525,0.0811034,0.350132,1.97321,1.21222,0.000739266,1.83584,2.3384,0.0375335,2.57164,0.083997,5.77988,3.57474,0.111997,0.0465899,2.84893,2.47665
LOC553495,11.7915,12.3056,12.4782,3.31076,3.42404,1773,5,3,1,3,3,4,1,2,0,3,1,1,0,0,0,0,20.9242,17.4503,12.4922,3.56153,5.85238,21.8026,22.7213,19.2655,3.58942,6.56174,0.988241,1.20279,2.11474,5.72813,2.66992,2.08758,2.68238,7.05756,3.16178,7.5307,4.10374,2.75298,2.13511,2.3114,4.97298,4.63259
LOC554386,0.0032107,0.00169964,0.00145019,6.71693,5.15651,1797,4,3,4,1,1,4,0,3,4,1,1,3,0,3,6,1,0.00225506,6.17983,6.26574,3.39423,16.2943,0.00201299,0.00221095,5.63026,0.00313013,0.0026729,2.46673,2.4974,0.00321872,0.000797725,0.00261194,0.0111691,0.00109541,0.0010645,0.000731646,3.41664,7.53842,19.3502,8.3036,12.4415,2.41253,1.26731
LOC554736,57.0178,65.8244,46.6538,44.5562,56.7904,546,1,0,0,0,0,0,0,2,0,1,2,0,1,2,0,1,38.7023,27.2003,26.3909,23.5541,36.5871,30.5928,33.4594,25.1059,38.3443,43.5372,6.34153,9.90947,24.2744,12.561,12.7637,22.7218,19.204,35.9281,23.0926,37.2533,44.111,54.3163,49.9055,67.4504,23.1904,26.619
LOC556124,49.7755,51.764,58.7999,63.566,47.74,3193,1,3,1,1,3,3,1,3,2,3,2,0,3,3,2,4,49.4183,61.8248,82.2076,64.0363,58.2351,73.8512,70.5357,100.359,126.843,97.2545,39.8677,34.7891,22.8582,18.4507,37.3559,34.8721,22.542,20.8646,14.9262,25.2834,29.8487,17.5598,15.37,20.0098,19.025,18.2994
LOC556326,9.84094,5.65382,4.53837,1.69374,0.987656,2798,2,1,4,0,1,5,0,1,5,0,1,2,0,1,4,0,0.106227,1.30742,0.364695,0.303024,1.10807,11.2323,11.4564,13.2223,1.18558,1.53737,0.000000373786,0.27569,0.6767,0.967293,3.66019,1.08003,1.11643,1.036,1.00063,0.857009,4.10436,3.76111,4.33861,5.4011,8.37523,8.01694
LOC556846,2.53518,2.80226,5.80616,81.5009,99.3074,2156,3,0,0,0,0,0,0,0,0,0,1,2,0,3,3,1,1.25199,1.8063,11.4545,65.2369,50.0132,3.27694,3.04268,7.87829,60.8541,52.6132,20.0432,27.8972,10.4669,5.92228,24.1629,29.507,12.4586,6.13088,7.66349,5.83925,10.9678,12.271,14.6866,10.3197,9.29107,10.4903
LOC557028,0.212201,0.212217,0.29714,2.34791,7.61982,1534,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0.512011,12.1819,18.4718,0.174023,0.116842,0.129389,8.02469,13.0221,2.4283,5.14443,13.0799,13.2614,0.485306,7.27537,11.9183,15.0953,13.4022,10.2993,19.7317,18.562,39.5723,30.1012,35.7206,29.8798
LOC558044,46.1173,40.9956,48.4879,66.0514,125.131,7176,3,3,4,3,3,3,2,3,3,6,3,7,8,3,16,7,33.16,31.2724,37.8255,75.6179,140.705,32.1567,33.7893,39.9622,60.9777,113.609,27.1721,53.6215,45.0712,38.6085,21.533,37.5629,37.0592,32.4776,24.8288,28.8105,23.0021,24.6547,25.1493,24.1253,48.4338,44.1102
LOC558818,0.199698,0.208473,0.477715,0.809449,1.60418,2186,3,,,,,,,,,,,,,,,,0.0402961,0.0268357,0.545969,0.391392,1.23202,0,0,0.585889,0.668369,1.30394,0.288621,0.527926,0.992844,2.92491,0.449828,0.683627,0.970617,5.00977,1.48593,2.77015,2.01714,2.9949,3.39018,5.27482,6.35825,5.67751
LOC559008,1.78187,0.508213,0.663731,0.784112,0.468702,1551,2,,,,,,,,,,,,,,,,2.53777,2.38375,1.03984,0.360154,0.288025,1.10353,1.03123,1.0084,0.19898,0.51916,1.29261,0.261878,0.0772395,2.08763,0.493613,0.119942,0.0453802,1.71559,0.345407,0.657009,0.649612,0.962366,0.648638,0.895121,2.3595,4.1956
LOC559147,2.09795,1.80413,0.899841,1.07405,1.55347,856,1,,,,,,,,,,,,,,,,0.150542,0.180949,0,0,0,0.692354,0.597868,0.120722,0,0,0,0,0,0.576688,0,0,0,0.906639,0.499911,0.107365,1.38515,0.937446,4.84213,4.06827,4.98876,7.28309
LOC560084,0.203578,0.172963,0.383316,0.766148,1.69451,2510,3,,,,,,,,,,,,,,,,0,0,0.164125,0.385166,1.15136,0.0200087,0.0213647,0.24852,0.4019,0.96223,0.187118,0.209095,0.676938,0.968379,0.0279625,0.397452,0.7091,1.44395,0.724857,1.391,0.663451,0.827113,1.21784,1.07071,1.58052,1.19157
LOC560232,0.713883,0.372634,4.41511,12.7038,15.6425,2301,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0323189,0.228416,4.54904,7.97854,9.91667,0.144713,0.1243,7.03846,16.6986,17.383,5.32219,6.63651,5.54051,9.64328,3.78596,4.8789,4.89254,8.75982,7.91056,9.01322,6.73721,7.04921,5.98656,8.88183,12.8077,12.8877
LOC561143,26.6042,31.0202,38.192,57.957,54.9534,2555,0,3,3,3,3,2,1,3,1,3,3,1,2,3,2,3,20.8757,22.6045,34.6005,18.4145,20.6927,2.53884,4.68989,4.58433,8.73185,13.4981,15.0513,11.9834,8.37618,6.53708,7.84601,12.6533,3.34519,1.07628,6.39999,0.638092,7.99158,10.1386,10.2232,8.90097,10.4903,9.66229
LOC564145,0.00612563,0.00573286,0.00814652,21.8889,0.00417652,663,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00215497,0.00376615,0.00616489,0.00641894,0.00135779,0.00810082,0.00503582,0.00751044,0.0048452,0.0349719,0.00469158,0.00151153,0.00430169,0.00277783,1.3003,0.00375268,0.00158975,0.00274742,0.00144879,0.00144679,0.00119889,0.00111957,0.00139874,0.00123392,0.00109906,0.00108502
LOC564685,4.56485,6.17754,5.93002,1.04245,1.03125,1503,5,,,,,,,,,,,,,,,,4.00616,11.9943,8.34826,1.32238,2.64959,5.67164,4.71438,3.30603,1.08937,3.64474,1.09651,0.861147,3.0688,2.52572,0.36031,1.31571,2.21339,2.06022,1.7807,2.47123,0.419978,0.88961,0.880796,0.616972,1.95703,2.16065
LOC565175,21.101,17.8235,17.6054,6.01052,1.14746,3272,5,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,15.8931,18.8545,16.971,3.26612,0.822702,26.3109,31.7516,34.5934,2.68238,1.00689,2.65282,0.618965,0.297786,0.584197,7.3674,0.683343,0.273062,0.574939,0.289466,0.277272,0.312144,0.272195,0.608446,0.741469,1.14073,0.864331
LOC565231,0.374637,0.552073,8.28013,29.7741,25.1361,605,4,,,,,,,,,,,,,,,,0,0.394324,9.66637,10.6116,14.6911,0.215239,0.117509,10.1741,32.9371,45.9442,8.19384,12.4818,16.9431,13.9582,10.9729,16.2315,10.9092,15.5602,13.104,12.2268,26.9711,22.8041,45.5754,35.8285,12.6397,12.1691
LOC565422,0.970845,0.351699,0.10085,26.0193,56.2944,1211,3,0,0,0,0,0,0,0,0,0,1,2,0,3,3,1,0.0508599,0.174766,0.399174,31.0477,35.8689,0.22748,0.399241,0.294678,34.5175,32.8386,11.1685,11.6574,5.98263,7.10081,1.28464,13.763,7.4773,7.44751,8.79865,10.5831,35.4204,29.9067,39.9266,45.1548,11.9451,12.3185
LOC566050,1.18625,1.32279,1.39845,3.46601,2.4069,1427,4,,,,,,,,,,,,,,,,0.56614,2.24284,1.43465,1.54673,0.364126,0.0617636,0.118016,1.05628,2.65917,1.29565,1.65955,0.730469,0.446597,0.27127,0.513927,0.589092,0.154417,0.599028,0.373051,0.405114,0.497322,0.766849,0.35235,0.862369,0.300717,0.570646
LOC566052,27.2367,31.5649,24.1737,16.3424,11.2006,1160,5,1,1,0,1,1,0,1,2,0,0,0,0,2,0,1,10.9712,21.274,6.28139,8.2036,10.3664,4.16855,2.68425,4.05619,6.13101,15.8623,4.32166,7.12018,4.1108,3.81619,0.0892252,1.10774,3.28286,5.24471,10.4757,10.0954,33.0264,14.7926,23.9332,33.0232,2.3242,3.87377
LOC566907,44.7665,49.6155,49.6862,18.6476,10.1369,1485,5,1,2,0,1,2,0,1,1,0,0,0,0,0,0,0,43.4685,35.0078,41.7845,16.306,8.89992,64.1693,62.8446,87.7953,23.164,11.4121,6.80762,4.87262,3.63042,2.87185,10.2286,4.77222,2.73503,9.74112,3.50042,9.90084,0.65859,0.873415,0.762239,0.405579,0.530945,0.236649
LOC567180,35.5779,32.8709,31.4129,21.2084,20.1316,1821,1,,,,,,,,,,,,,,,,24.7416,23.058,21.8596,18.7889,16.7372,21.5815,19.3915,22.2082,15.0586,15.6435,7.6422,7.55327,3.08065,5.53586,7.18083,7.66121,3.70698,4.48322,4.17152,5.91698,6.88811,10.767,8.87213,14.3255,15.4066,17.5133
LOC567472,0.175482,0,3.19945,4.15594,0.859848,1051,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.31068,8.10661,0.108532,0,0,8.49194,1.1011,0.0736824,2.82537,0.236179,0,0,0.825837,0,0.228833,0.257418,0.103348,0.308585,0.0641931,0.0379778,0.0371232,0,0.319862,0.236913
